code_name,solub,smiles,mulliken charges,Dipole module/D,HOMO,Total polarizability alpha,Total FOD,NOCount,NumAliphaticRings,NumHDonors,NumRotatableBonds,TPSA,MolLogP
mol_5,-1.33,c1ccsc1,0.0,0.835,-10.6082,65.064392,0.054,0,0,0,0,0.0,1.748099999999999
mol_6,-1.5,c2ccc1scnc1c2 ,0.0,1.368,-10.7667,100.286085,0.1375,1,0,0,0,12.89,2.296299999999999
mol_11,1.07,O=C1CCCN1,0.0,4.422,-10.6444,57.257636,0.016,2,1,1,0,29.1,-0.1036
mol_13,-2.68,CCCC=C,0.0,0.437867249998015,-10.726088744000192,62.74152420446155,0.011349062000015,0,0,0,3,0.0,1.9725
mol_16,-1.41,CC(C)Cl,0.0,2.341,-11.0571,52.161938,0.0018,0,0,0,2,0.0,1.6336
mol_17,-0.47,CCC(C)CO,0.0,2.006559538239072,-11.000825143624668,68.07933922819493,0.0,1,0,1,5,20.23,1.0248
mol_18,-1.0,N#Cc1ccccc1,0.0,4.246,-11.5139,80.590663,0.0765,1,0,0,0,23.79,1.558279999999999
mol_23,-4.11,CCOP(=S)(OCC)SCSCC,0.374590495867468,2.462272041375967,-10.075950423774938,180.7491252479864,0.161481018112025,2,0,0,11,18.46,3.727700000000003
mol_24,-2.35,CCOc1ccc(NC(=O)C)cc1,0.0,2.6665397001226703,-9.960320198353966,129.75191586057872,0.092377394551131,3,0,1,5,38.33,2.0437
mol_26,-1.81,CCCCCCCO,0.0,1.986401187007285,-11.075120134338066,91.45246200973052,0.0,1,0,1,7,20.23,1.9491
mol_30,-3.17,CCCCCCCC(=O)OC,0.0,2.240551810172499,-11.165714692106986,116.43504343321784,0.02925502448094,2,0,0,8,26.3,2.5199
mol_31,-3.75,CCc1ccc(CC)cc1,0.0,0.15,-10.3536,114.407505,0.0422,0,0,0,4,0.0,2.811400000000001
mol_34,-1.64,ClC(=C)Cl,0.0,1.374,-11.2926,52.530123,0.029,0,0,0,0,0.0,1.9352
mol_36,-0.85,CCCCC=O,0.0,3.374743565827308,-11.02958394041092,65.06225171939168,0.065431854503321,1,0,0,4,17.07,1.3755
mol_40,-4.81,CCCCCCCI,0.0,4.002111107988117,-10.948853115963692,117.37295487529116,0.025622944913888,0,0,0,6,0.0,3.391800000000002
mol_42,-0.15,OCCCC=C,0.0,1.803903238570658,-10.886777539086832,67.31409758316744,0.012799999999999,1,0,1,4,20.23,0.9449
mol_45,-0.63,CC(C)OC=O,0.0,2.564,-11.6983,58.275329,0.0206,2,0,0,3,26.3,0.5678000000000001
mol_46,-1.55,CCCCCC(C)O,0.0,2.024974116325046,-10.971194398925237,91.29599722174024,0.0,1,0,1,7,20.23,1.9475
mol_51,-3.66,CCCCCCC#C,0.0,0.671916266075208,-10.793357636841185,93.0534958457857,0.0031,0,0,0,5,0.0,2.59
mol_56,-0.62,Cc1ccccc1O,0.0,2.01,-10.2425,83.848419,0.0436,1,0,1,2,20.23,1.70062
mol_58,-4.14,Cc1ccc(C)c2ccccc12,0.0,0.099,-9.7934,130.95208,0.1768,0,0,0,2,0.0,3.456640000000002
mol_60,-0.19,CCCC(=O)C,0.0,3.399674263410741,-10.730800707513987,64.78935421491506,0.049702040952993,1,0,0,4,17.07,1.3755
mol_62,-0.82,CCCOC(=O)CC,0.0,2.138405067170934,-11.240531264308732,81.35311859602665,0.019363818144312,2,0,0,5,26.3,1.3496
mol_64,-0.8,Nc1ccc(O)cc1,0.0,2.393,-9.5159,81.245882,0.0727,2,0,2,2,46.25,0.974399999999999
mol_1127,-3.18,CCC(C)C,0.0,0.023,-11.3667,63.493934,0.0,0,0,0,4,0.0,2.0524
