code_name,solub,smiles
mol_5,-1.33,c1ccsc1
mol_6,-1.5,c2ccc1scnc1c2 
mol_11,1.07,O=C1CCCN1
mol_13,-2.68,CCCC=C
mol_16,-1.41,CC(C)Cl
mol_17,-0.47,CCC(C)CO
mol_18,-1,N#Cc1ccccc1
mol_23,-4.11,CCOP(=S)(OCC)SCSCC
mol_24,-2.35,CCOc1ccc(NC(=O)C)cc1
mol_26,-1.81,CCCCCCCO
mol_30,-3.17,CCCCCCCC(=O)OC
mol_31,-3.75,CCc1ccc(CC)cc1
mol_34,-1.64,ClC(=C)Cl
mol_36,-0.85,CCCCC=O
mol_40,-4.81,CCCCCCCI
mol_42,-0.15,OCCCC=C
mol_45,-0.63,CC(C)OC=O
mol_46,-1.55,CCCCCC(C)O
mol_51,-3.66,CCCCCCC#C
mol_56,-0.62,Cc1ccccc1O
mol_58,-4.14,Cc1ccc(C)c2ccccc12
mol_60,-0.19,CCCC(=O)C
mol_62,-0.82,CCCOC(=O)CC
mol_64,-0.8,Nc1ccc(O)cc1
mol_1127,-3.18,CCC(C)C
